City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
373,Bolobo,CD,-2.17,16.23,77.94,50,0,2.21,clear sky,0.0,0
374,Wagar,SD,16.15,36.2,89.1,42,100,15.61,overcast clouds,0.0,0
375,Luwuk,ID,-0.95,122.79,77.13,80,95,4.23,moderate rain,1.67,0
376,Elizabeth City,US,36.29,-76.25,84.99,74,1,11.41,clear sky,0.0,0
377,Waipawa,NZ,-41.41,175.52,46.4,70,99,33.33,light rain,0.64,0
378,Turukhansk,RU,65.82,87.98,51.33,57,0,17.09,clear sky,0.0,0
379,Saint Stephen,GB,50.33,-4.9,61.0,87,96,12.75,overcast clouds,0.0,0
380,Vanimo,PG,-2.67,141.3,77.11,87,54,6.58,broken clouds,0.0,0
381,Zheleznodorozhnyy,RU,55.75,38.0,64.4,93,75,8.95,broken clouds,0.0,0
382,Huayucachi,PE,-12.13,-75.23,64.06,26,4,2.82,clear sky,0.0,0
383,Port Hawkesbury,CA,45.62,-61.35,62.01,77,40,14.99,scattered clouds,0.0,0
384,Devils Lake,US,48.11,-98.87,77.0,53,1,9.17,clear sky,0.0,0
385,Bonfim,BR,3.08,-59.95,87.87,60,68,1.74,light rain,0.15,0
386,Hastings,GB,50.86,0.57,62.01,96,95,4.0,overcast clouds,0.0,0
387,Bambous Virieux,MU,-20.34,57.76,71.6,60,75,12.75,broken clouds,0.0,0
388,Jardim,BR,-21.48,-56.14,60.96,79,100,4.54,overcast clouds,0.0,0
389,Stuttgart,DE,48.78,9.18,69.01,63,80,4.7,broken clouds,0.0,0
390,Cayenne,GF,4.93,-52.33,84.2,70,96,8.05,light rain,0.18,0
391,Nishihara,JP,26.18,127.76,82.4,88,75,12.75,broken clouds,0.0,0
392,Yumen,CN,40.28,97.2,68.76,24,73,7.56,broken clouds,0.0,0
393,Luderitz,NA,-26.65,15.16,60.8,59,31,5.82,scattered clouds,0.0,0
394,Pokrovskoye,RU,47.42,38.9,75.0,83,100,8.99,overcast clouds,0.0,0
395,Roald,NO,62.58,6.13,50.0,93,75,18.34,light intensity shower rain,0.0,0
396,Maumelle,US,34.87,-92.4,91.0,68,48,1.01,moderate rain,1.15,0
397,Port Lincoln,AU,-34.73,135.87,49.84,54,0,15.77,clear sky,0.0,0
398,Naryan-Mar,RU,67.67,53.09,63.73,94,97,8.08,light rain,0.4,0
