,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Ariquemes,BR,87.84,scattered clouds,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
301,Aripuana,BR,88.66,few clouds,-9.17,-60.63,
302,Acarau,BR,78.64,scattered clouds,-2.89,-40.12,castelo pizzaria
303,Alibag,IN,84.2,haze,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
305,Barao De Melgaco,BR,82.4,clear sky,-16.19,-55.97,Tuiuiu Pantanal Hotel
306,Balatonszarszo,HU,68.0,scattered clouds,46.83,17.82,Két Korona Konferencia és Wellness Hotel - Étterem
307,Gornopravdinsk,RU,71.8,scattered clouds,60.05,69.9,
308,Sao Filipe,CV,78.33,broken clouds,14.9,-24.5,Tortuga B&B
310,Plettenberg Bay,ZA,69.6,scattered clouds,-34.05,23.37,Thanda Vista B&B
313,Kailua,US,84.2,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
314,Faanui,PF,76.03,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
316,Jackson,US,81.0,clear sky,42.42,-122.83,Agate Village Apartments
317,Tonder,DK,55.4,scattered clouds,54.93,8.87,Filsø Hotel (Bowler Inn)
318,Abasha,GE,73.4,overcast clouds,42.21,42.22,глстиница
319,Catamarca,AR,66.99,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
320,Quatre Cocos,MU,71.6,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
321,Nemea,GR,79.0,clear sky,37.82,22.67,villa Axiothea nemea
322,Port-Cartier,CA,64.4,overcast clouds,50.03,-66.87,Le Q'Artier
323,Krasnoarmeysk,RU,75.56,clear sky,51.02,45.7,Gostinitsa Komfort
324,Waingapu,ID,73.53,clear sky,-9.66,120.26,Pondok Wisata Elim
325,Qasigiannguit,GL,57.2,broken clouds,68.82,-51.19,
328,Cody,US,79.0,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
329,Vallenar,CL,73.9,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
330,Vila Franca Do Campo,PT,68.0,broken clouds,37.72,-25.43,Pestana Bahia Praia
332,Lompoc,US,66.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
334,Srednekolymsk,RU,61.61,overcast clouds,67.45,153.68,
341,Mackenzie,CA,64.4,broken clouds,55.3,-123.17,Hilton Shop
342,Sitka,US,57.2,broken clouds,57.05,-135.33,Westmark Sitka
343,Nalut,LY,78.6,clear sky,30.33,10.85,
344,Eyl,SO,81.16,scattered clouds,7.98,49.82,Amiin Hotel
345,Hofn,IS,55.4,shower rain,64.25,-15.21,Hótel Höfn
348,Nizhniy Odes,RU,73.02,broken clouds,63.64,54.86,
349,Bagdarin,RU,56.01,clear sky,54.43,113.6,Gostevoy Dom Terem
351,Grevesmuhlen,DE,57.0,broken clouds,53.87,11.18,Ringhotel am See
352,Zoutleeuw,BE,62.01,overcast clouds,50.83,5.1,Hotel Stayen
353,Mayumba,GA,71.82,clear sky,-3.43,10.66,LIKWALE LODGE
354,Roebourne,AU,66.0,clear sky,-20.78,117.13,Harding River Caravan Park
355,Cururupu,BR,78.03,clear sky,-1.83,-44.87,Pousada Través'cia
356,Cabatuan,PH,76.93,overcast clouds,10.88,122.49,Tobias Hime
357,Taganak,PH,78.8,few clouds,6.08,118.3,
359,Tamandare,BR,76.26,clear sky,-8.76,-35.1,Pousada 100 Passos
362,Carnarvon,AU,55.4,clear sky,-24.87,113.63,Hospitality Carnarvon
363,Valparaiso,CL,62.6,scattered clouds,-33.04,-71.63,Hotel Ultramar
364,Kundiawa,PG,58.68,few clouds,-6.02,144.97,Kundiawa Hotel
365,High River,CA,64.99,overcast clouds,50.58,-113.87,Super 8 by Wyndham High River AB
366,Yemelyanovo,RU,66.2,overcast clouds,56.17,92.68,Zaimka Emelyanovskaya Gorka
368,Kefalos,GR,80.6,clear sky,36.75,26.96,Kokalakis Hotel
369,Liberia,LR,71.94,overcast clouds,6.5,-9.5,
372,Bardiyah,LY,74.39,clear sky,31.76,25.09,بورتو بردية
373,Bolobo,CD,77.94,clear sky,-2.17,16.23,
376,Elizabeth City,US,84.99,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
379,Saint Stephen,GB,61.0,overcast clouds,50.33,-4.9,4 stepaside corner
380,Vanimo,PG,77.11,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
381,Zheleznodorozhnyy,RU,64.4,broken clouds,55.75,38.0,Hotel Dali
382,Huayucachi,PE,64.06,clear sky,-12.13,-75.23,Hostal Molinos
383,Port Hawkesbury,CA,62.01,scattered clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
384,Devils Lake,US,77.0,clear sky,48.11,-98.87,Holiday Inn Express Devils Lake
